## CSV MS-Excel compatible file
## MACSPEC Mtable/writeCSV is source
SLIT,X1,X2,Y1,Y2,TARGTYPE,TARGNAME
0,50,52,50,52,AUTO,AUTO0
1,50,52,150,152,AUTO,AUTO1
2,50,52,250,252,AUTO,AUTO2
3,50,52,350,352,AUTO,AUTO3
4,50,52,450,452,AUTO,AUTO4
5,150,152,50,52,AUTO,AUTO5
6,150,152,150,152,AUTO,AUTO6
7,150,152,250,252,AUTO,AUTO7
8,150,152,350,352,AUTO,AUTO8
9,150,152,450,452,AUTO,AUTO9
10,250,252,50,52,AUTO,AUTO10
11,250,252,150,152,AUTO,AUTO11
12,250,252,250,252,AUTO,AUTO12
13,250,252,350,352,AUTO,AUTO13
14,250,252,450,452,AUTO,AUTO14
15,350,352,50,52,AUTO,AUTO15
16,350,352,150,152,AUTO,AUTO16
17,350,352,250,252,AUTO,AUTO17
18,350,352,350,352,AUTO,AUTO18
19,350,352,450,452,AUTO,AUTO19
20,450,452,50,52,AUTO,AUTO20
21,450,452,150,152,AUTO,AUTO21
22,450,452,250,252,AUTO,AUTO22
23,450,452,350,352,AUTO,AUTO23
24,450,452,450,452,AUTO,AUTO24
25,550,552,50,52,AUTO,AUTO25
26,550,552,150,152,AUTO,AUTO26
27,550,552,250,252,AUTO,AUTO27
28,550,552,350,352,AUTO,AUTO28
29,550,552,450,452,AUTO,AUTO29
30,650,652,50,52,AUTO,AUTO30
31,650,652,150,152,AUTO,AUTO31
32,650,652,250,252,AUTO,AUTO32
33,650,652,350,352,AUTO,AUTO33
34,650,652,450,452,AUTO,AUTO34
35,750,752,50,52,AUTO,AUTO35
36,750,752,150,152,AUTO,AUTO36
37,750,752,250,252,AUTO,AUTO37
38,750,752,350,352,AUTO,AUTO38
39,750,752,450,452,AUTO,AUTO39
