## CSV MS-Excel compatible file
## MACSPEC Mtable/writeCSV is source
SLIT,X1,X2,Y1,Y2,TARGTYPE,TARGNAME
0,201,221,239,241,USER,CLICK
1,304,324,231,233,USER,CLICK
2,322,342,269,271,USER,CLICK
3,344,364,359,361,USER,CLICK
4,424,444,439,441,USER,CLICK
5,439,459,430,432,USER,CLICK
6,529,549,254,256,USER,CLICK
7,743,763,303,305,USER,CLICK
8,151,171,483,485,USER,CLICK
9,256,276,237,239,USER,CLICK
10,374,394,363,365,USER,CLICK
11,582,602,274,276,USER,CLICK
12,702,722,291,293,USER,CLICK
